Report Date,FIPS,Locality,VDH Health District,Total Cases,Hospitalizations,Deaths
11/28/2020,51001,Accomack,Eastern Shore,1340,107,21
11/28/2020,51003,Albemarle,Thomas Jefferson,1896,100,27
11/28/2020,51005,Alleghany,Alleghany,316,19,7
11/28/2020,51007,Amelia,Piedmont,210,21,6
11/28/2020,51009,Amherst,Central Virginia,810,31,6
11/28/2020,51011,Appomattox,Central Virginia,396,25,6
11/28/2020,51013,Arlington,Arlington,6203,577,157
11/28/2020,51015,Augusta,Central Shenandoah,1161,43,11
11/28/2020,51017,Bath,Central Shenandoah,61,1,0
11/28/2020,51019,Bedford,Central Virginia,1802,79,19
11/28/2020,51021,Bland,Mount Rogers,190,7,5
11/28/2020,51023,Botetourt,Alleghany,767,33,13
11/28/2020,51025,Brunswick,Southside,468,33,7
11/28/2020,51027,Buchanan,Cumberland Plateau,417,21,5
11/28/2020,51029,Buckingham,Piedmont,887,34,10
11/28/2020,51031,Campbell,Central Virginia,1160,37,12
11/28/2020,51033,Caroline,Rappahannock,590,32,6
11/28/2020,51035,Carroll,Mount Rogers,956,64,29
11/28/2020,51036,Charles City,Chickahominy,141,24,7
11/28/2020,51037,Charlotte,Piedmont,282,25,5
11/28/2020,51041,Chesterfield,Chesterfield,9181,491,131
11/28/2020,51043,Clarke,Lord Fairfax,198,19,3
11/28/2020,51045,Craig,Alleghany,90,3,1
11/28/2020,51047,Culpeper,Rappahannock Rapidan,2210,110,20
11/28/2020,51049,Cumberland,Piedmont,158,13,4
11/28/2020,51051,Dickenson,Cumberland Plateau,260,12,1
11/28/2020,51053,Dinwiddie,Crater,659,49,14
11/28/2020,51057,Essex,Three Rivers,240,17,2
11/28/2020,51059,Fairfax,Fairfax,30450,2519,623
11/28/2020,51061,Fauquier,Rappahannock Rapidan,1430,69,28
11/28/2020,51063,Floyd,New River,343,15,15
11/28/2020,51065,Fluvanna,Thomas Jefferson,494,44,9
11/28/2020,51067,Franklin County,West Piedmont,1611,55,17
11/28/2020,51069,Frederick,Lord Fairfax,2024,121,18
11/28/2020,51071,Giles,New River,285,8,0
11/28/2020,51073,Gloucester,Three Rivers,447,19,3
11/28/2020,51075,Goochland,Chickahominy,441,34,7
