locality,kappa,rho,sigma,theta,V1
James City,0.002704895,0.238323843,0.215454391,0.012885091,0.0059
Campbell,0.002704895,0.238323843,0.215454391,0.012885091,0.0059
Falls Church,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
Portsmouth,0.002704895,0.238323843,0.215454391,0.012885091,0.0059
Albemarle,0.002704895,0.238323843,0.215454391,0.012885091,0.00302
Poquoson,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
Richmond County,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
Louisa,0.002704895,0.238323843,0.215454391,0.012885091,0.0059
Richmond City,0.000173235,0.045358655,0.03986571,0.01163214,0.00302
Augusta,0.002704895,0.238323843,0.215454391,0.012885091,0.0069
Manassas Park,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
Prince William,0.000173235,0.045358655,0.03986571,0.01163214,0.00302
Chesapeake,0.000173235,0.045358655,0.03986571,0.01163214,0.00302
Rockingham,0.002704895,0.238323843,0.215454391,0.012885091,0.0059
Chesterfield,0.000173235,0.045358655,0.03986571,0.01163214,0.00302
Page,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
Buckingham,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
Wythe,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
Westmoreland,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
Gloucester,0.002704895,0.238323843,0.215454391,0.012885091,0.0069
Franklin City,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
Spotsylvania,0.002704895,0.238323843,0.215454391,0.012885091,0.0059
Staunton,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
Botetourt,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
Martinsville,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
Northampton,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
Suffolk,0.002704895,0.238323843,0.215454391,0.012885091,0.0059
Fairfax,0.000173235,0.045358655,0.03986571,0.01163214,0.00302
Loudoun,0.000173235,0.045358655,0.03986571,0.01163214,0.00302
Russell,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
Salem,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
Greensville,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
Bristol,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
King William,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
Tazewell,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
King and Queen,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
Shenandoah,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
Fairfax City,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
Nottoway,0.001293777,0.144534246,0.126848267,0.010926353,0.0069
